year,kwh_per_day,sessions_per_day,utilisation,revenue,electricity,gross_profit,host_rent,staff,maintenance,software,payment_fees,insurance,misc,opex_excl_electricity,ebitda,depreciation,tax,free_cash_flow,net_cash_flow,cumulative_cash_flow
1,91.32,4.57,7.27,6.21,1.89,4.32,0.93,2.4,0.46,0.54,0.09,0.16,0.6,5.19,-0.86,3.12,0.0,-0.86,-0.86,-32.64
2,139.59,6.98,11.11,9.69,2.98,6.71,1.45,2.52,0.49,0.57,0.15,0.16,0.63,5.97,0.74,3.12,0.0,0.74,0.74,-31.89
3,149.36,7.47,11.89,10.57,3.28,7.29,1.59,2.65,0.51,0.6,0.16,0.17,0.66,6.33,0.96,3.12,0.0,0.96,0.96,-30.93
4,159.81,7.99,12.72,11.54,3.61,7.92,1.73,2.78,0.54,0.63,0.17,0.18,0.69,6.72,1.2,3.12,0.0,1.2,1.2,-29.73
5,171.0,8.55,13.61,12.59,3.98,8.61,1.89,2.92,0.57,0.66,0.19,0.19,0.73,7.14,1.47,3.12,0.0,1.47,1.47,-28.25
6,182.97,9.15,14.56,13.74,4.39,9.35,2.06,3.06,0.59,0.69,0.21,0.2,0.77,7.58,1.78,3.12,0.0,1.78,1.78,-26.48
7,195.78,9.79,15.58,15.0,4.84,10.16,2.25,3.22,0.62,0.72,0.23,0.21,0.8,8.05,2.11,3.12,0.0,2.11,2.11,-24.37
8,209.48,10.47,16.67,16.37,5.33,11.04,2.46,3.38,0.65,0.76,0.25,0.22,0.84,8.56,2.48,3.12,0.0,2.48,2.48,-21.88
9,224.14,11.21,17.84,17.87,5.88,11.99,2.68,3.55,0.69,0.8,0.27,0.23,0.89,9.1,2.9,3.12,0.0,2.9,2.9,-18.99
10,239.83,11.99,19.09,19.5,6.48,13.02,2.93,3.72,0.72,0.84,0.29,0.24,0.93,9.67,3.35,3.12,0.0,3.35,3.94,-15.05
