year,kwh_per_day,sessions_per_day,utilisation,revenue,electricity,gross_profit,host_rent,staff,maintenance,software,payment_fees,insurance,misc,opex_excl_electricity,ebitda,depreciation,tax,free_cash_flow,net_cash_flow,cumulative_cash_flow
1,90.25,4.51,7.18,5.27,2.05,3.22,0.79,2.4,0.46,0.54,0.08,0.16,0.6,5.03,-1.81,3.12,0.0,-1.81,-1.81,-33.59
2,137.95,6.9,10.98,8.22,3.22,4.99,1.23,2.52,0.49,0.57,0.12,0.16,0.63,5.72,-0.73,3.12,0.0,-0.73,-0.73,-34.32
3,147.61,7.38,11.75,8.97,3.55,5.42,1.35,2.65,0.51,0.6,0.13,0.17,0.66,6.07,-0.65,3.12,0.0,-0.65,-0.65,-34.97
4,157.94,7.9,12.57,9.79,3.91,5.88,1.47,2.78,0.54,0.63,0.15,0.18,0.69,6.43,-0.56,3.12,0.0,-0.56,-0.56,-35.52
5,168.99,8.45,13.45,10.68,4.31,6.37,1.6,2.92,0.57,0.66,0.16,0.19,0.73,6.82,-0.45,3.12,0.0,-0.45,-0.45,-35.97
6,180.82,9.04,14.39,11.66,4.75,6.91,1.75,3.06,0.59,0.69,0.17,0.2,0.77,7.23,-0.32,3.12,0.0,-0.32,-0.32,-36.3
7,193.48,9.67,15.4,12.72,5.23,7.49,1.91,3.22,0.62,0.72,0.19,0.21,0.8,7.68,-0.18,3.12,0.0,-0.18,-0.18,-36.48
8,207.02,10.35,16.47,13.89,5.77,8.12,2.08,3.38,0.65,0.76,0.21,0.22,0.84,8.15,-0.02,3.12,0.0,-0.02,-0.02,-36.5
9,221.52,11.08,17.63,15.16,6.35,8.8,2.27,3.55,0.69,0.8,0.23,0.23,0.89,8.65,0.16,3.12,0.0,0.16,0.16,-36.35
10,237.02,11.85,18.86,16.54,7.0,9.54,2.48,3.72,0.72,0.84,0.25,0.24,0.93,9.18,0.36,3.12,0.0,0.36,0.95,-35.4
