city,utilisation_pct,price_factor,npv_lakh
Delhi,8.0,0.8,-43.99
Delhi,8.0,0.9,-40.81
Delhi,8.0,1.0,-37.64
Delhi,8.0,1.1,-34.46
Delhi,12.0,0.8,-37.36
Delhi,12.0,0.9,-32.59
Delhi,12.0,1.0,-27.83
Delhi,12.0,1.1,-23.07
Delhi,16.0,0.8,-30.72
Delhi,16.0,0.9,-24.38
Delhi,16.0,1.0,-18.03
Delhi,16.0,1.1,-12.67
Delhi,20.0,0.8,-24.09
Delhi,20.0,0.9,-16.32
Delhi,20.0,1.0,-10.11
Delhi,20.0,1.1,-4.18
Delhi,25.0,0.8,-16.05
Delhi,25.0,0.9,-8.39
Delhi,25.0,1.0,-0.97
Delhi,25.0,1.1,6.45
Delhi,30.0,0.8,-9.63
Delhi,30.0,0.9,-0.73
Delhi,30.0,1.0,8.17
Delhi,30.0,1.1,17.07
Hyderabad,8.0,0.8,-48.77
Hyderabad,8.0,0.9,-46.05
Hyderabad,8.0,1.0,-43.32
Hyderabad,8.0,1.1,-40.6
Hyderabad,12.0,0.8,-44.49
Hyderabad,12.0,0.9,-40.4
Hyderabad,12.0,1.0,-36.31
Hyderabad,12.0,1.1,-32.23
Hyderabad,16.0,0.8,-40.21
Hyderabad,16.0,0.9,-34.76
Hyderabad,16.0,1.0,-29.31
Hyderabad,16.0,1.1,-23.86
Hyderabad,20.0,0.8,-35.93
Hyderabad,20.0,0.9,-29.12
Hyderabad,20.0,1.0,-22.3
Hyderabad,20.0,1.1,-15.76
Hyderabad,25.0,0.8,-30.58
Hyderabad,25.0,0.9,-22.06
Hyderabad,25.0,1.0,-14.2
Hyderabad,25.0,1.1,-7.76
Hyderabad,30.0,0.8,-25.23
Hyderabad,30.0,0.9,-15.43
Hyderabad,30.0,1.0,-7.61
Hyderabad,30.0,1.1,0.04
