city,utilisation_pct,npv_lakh
Delhi,4.0,-47.44
Delhi,6.0,-42.54
Delhi,8.0,-37.64
Delhi,10.0,-32.73
Delhi,12.0,-27.83
Delhi,14.0,-22.93
Delhi,16.0,-18.03
Delhi,18.0,-13.8
Delhi,20.0,-10.11
Delhi,22.0,-6.45
Delhi,24.0,-2.8
Delhi,26.0,0.86
Delhi,28.0,4.52
Delhi,30.0,8.17
Delhi,32.0,11.83
Delhi,34.0,15.49
Delhi,36.0,19.14
Delhi,38.0,22.8
Delhi,40.0,22.8
Hyderabad,4.0,-50.33
Hyderabad,6.0,-46.82
Hyderabad,8.0,-43.32
Hyderabad,10.0,-39.82
Hyderabad,12.0,-36.31
Hyderabad,14.0,-32.81
Hyderabad,16.0,-29.31
Hyderabad,18.0,-25.81
Hyderabad,20.0,-22.3
Hyderabad,22.0,-18.8
Hyderabad,24.0,-15.63
Hyderabad,26.0,-12.83
Hyderabad,28.0,-10.21
Hyderabad,30.0,-7.61
Hyderabad,32.0,-5.0
Hyderabad,34.0,-2.39
Hyderabad,36.0,0.22
Hyderabad,38.0,2.83
Hyderabad,40.0,2.83
